국문표제어,영문표제어,약어,동의어
공용 무선 인터페이스,Common Public Radio Interface,CPRI,"공통 공공 무선 인터페이스, 공통 공공 무선 정합"
향상된 공용 무선 인터페이스,enhanced Common Public Radio Interface,eCPRI,"패킷 기반 공용 무선 인터페이스, 진화된 공용 무선 인터페이스, 진화된 공용 무선 정합"
이동성 관리 장비,Mobility Management Entity,MME,
서빙 게이트웨이,Serving Gateway,S-GW,
패킷 데이터 네트워크 게이트웨이,Packet Data Network Gateway,PDN GW(P-GW),
접속과 이동성 관리 기능,Access and Mobility Management Function,AMF,
세션 관리 기능,Session Management Function,SMF,
사용자 평면 기능,User Plane Function,UPF,
토폴로지,topology,,
네트워크 토폴로지,network topology,,망 연결구조
정보,information,,
사이버 위협 인텔리전스,Cyber Threat Intelligence,CTI,
802.11a 무선랜 표준,IEEE 802.11a,,
802.11b 무선랜 표준,IEEE 802.11b,,
802.11g 무선랜 표준,IEEE 802.11g,,
802.11n 무선랜 표준,IEEE 802.11n,,"HT(High Throughput), 와이파이 4(Wi-Fi 4), 고속 무선랜 표준"
802.11ac 무선랜 표준,IEEE 802.11ac,,"와이파이 5(Wi-Fi 5), 기가 와이파이(giga Wi-Fi), VHT(Very High Throughput), 초고속 무선랜 표준"
802.11ad 무선랜 표준,IEEE 802.11ad,,"Wigig(Wireless Gigabit Alliance), 60 GHz Wi-Fi, 60 GHz 초고속 무선랜 표준, VHT(Very High Throughput)"
802.11af 무선랜 표준,IEEE 802.11af,,"Super Wi-Fi, White-Fi"
전자파 환경 영향,Electromagnetic Environmental Effects,E3,
전자파 환경,Electromagnetic Environment,,전자기 환경
전자파 폭탄,Electromagnetic Bomb,E-Bomb,"전자 폭탄, 전자기 폭탄"
연속파,Continuous wave,CW,
전자파 차폐,Electromagnetic Shielding,,"전자기 차폐, electromagnetic screening"
서비스형 보안,Security as a Service,SECaaS,
의도성 전자파 장해,Intentional Electromagnetic Interference,IEMI,
서비스형 블록체인,Blockchain as a Service,BaaS,
암호화폐거래소,cryptocurrency exchange,,
암호화폐지갑,cryptocurrency wallet,,
암호화폐공개,Initial Coin Offering,ICO,"가상통화공개, 가상화폐공개"
위임지분증명,Delegated Proof of Stake,DPoS,
지분증명,Proof of Stake,PoS,
전용 블록체인,private blockchain,,
개방형 블록체인,public blockchain,,
비허가형 블록체인,permissionless blockchain,,
허가형 블록체인,permissioned blockchain,,
거래 수수료,transaction fee,,
합의 알고리즘,consensus algorithm,,
채굴,mining,,
이중 지급,double spending,,
분산 응용,Decentralized Application,DApp,디앱
분산원장 오라클 서비스,Distributed Ledger Technology(DLT) oracle service,,DLT 오라클 서비스
머클 트리,merkle tree,,"해시트리, 이진트리, 이진 해시트리"
생성적 대립 신경망,Generative Adversarial Network,GAN,생성적 적대 신경망
지능형 에이전트,intelligent agent,,
생물정보학,bioinformatics,,
동적 언어,dynamic language,,"동적 타입 언어, 동적 프로그래밍 언어"
정적 언어,static language,,"정적 타입 언어, 정적 프로그래밍 언어"
5세대 이동통신 시스템,5th Generation System,5GS,5G 시스템
5세대 이동통신 핵심망,5th Generation Core Network,5GC,"5G 코어네트워크, 5G 코어망"
노드,node,,"마디, 교점"
포크,fork,,"분기, 갈래"
블록,block,,
휘도,luminance,Y,"명도, 밝기"
아르에프(RF) 스펙트럼,Radio Frequency(RF) spectrum,,"radio spectrum, electromagnetic radiation spectrum, radio wave"
토큰,token,,
휴먼 증강,human augmentation,,human enhancement
블록체인,blockchain,,
스마트 계약,smart contract,,스마트 콘트랙트
분산원장기술,Distributed Ledger Technology,DLT,
와이유브이,YUV,,"YIQ, YCbCr"
뇌-컴퓨터 인터페이스,Brain-Computer Interface,BCI,Brain-Machine Interface(BMI)
컴퓨터 시각,Computer Vision,CV,
가상화폐,virtual currency,,virtual money
암호화폐,cryptocurrency,,
디지털 화폐,digital currency,,
철도통신 엘티이,Long Term Evolution for Railway,"LTE-R, LTE-Railway",LTE 기반 철도통신
철도통합무선망,Long Term Evolution based Railway wireless communication system,"LTE-R System, LTE-Railway System",LTE 기반 철도통합무선망
해상통신 엘티이,Long Term Evolution for Maritime,LTE-Maritime,초고속해상무선통신
비핵 전자파 펄스,Non-Nuclear Electromagnetic Pulse,NNEMP,
낙뢰 전자파 펄스,Lightning Electromagnetic Pulse,LEMP,
전자파 차폐 효과,electromagnetic shielding effectiveness,,전자파 차단 효과(electromagnetic screening effectiveness)
차단 주파수 이하 도파관,Waveguide Below Cutoff,WBC,
클라우드 기반 하드웨어 보안 모듈,cloud based Hardware Security Module,cloud HSM,HSM as s Service(HAAS)
참난수,true random number,,완전 난수
전자 여권,electronic passport,e-passport,"생체 여권, biometric passport, bio-passport"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
