국문표제어,영문표제어,약어,동의어
개인용 푸드 컴퓨터,Personal Food Computer,PFC,
농업정보기술,AgTech,,아그로테크(Agrotech)
서버 이름 표시,Server Name Indication,SNI,
이웃 영역 통신망,Neighborhood Area Network,NAN,
비승인 정보기술,Shadow Information Technology,Shadow IT,"스텔스 IT(Stealth IT), 클라이언트 IT(Client IT), 사각지대 정보기술"
구조화된 사이버 위협 정보 표현,Structured Threat Information eXpression,STIX,스틱스
고 프로그래밍 언어,Go programming language,,"고랭(Golang), 고 언어"
러스트 프로그래밍 언어,Rust programming language,,
링크드 데이터,linked data,,연결 데이터
엑스 대역,X band,,X 밴드
와이파이,Wi-Fi,,
통과대역 대역폭,passband bandwidth,,
점유 대역폭,Occupied BandWidth,OBW,99% 대역폭
케이유 대역,Ku band,,Ku 밴드
카 대역,Ka band,,"Ka 밴드, 케이에이 밴드"
케이 대역,K band,,K 밴드
시 대역,C band,,C 밴드
기저대역 대역폭,baseband bandwidth,,
대역폭,BandWidth,BW,주파수 대역폭
인체 영역 통신망,Body Area Network,BAN,"무선 인체 통신망, Wireless Body Area Network(WBAN), 인체 센서 통신망, Body Sensor Network(BSN), 의료용 인체 통신망, Medical Body Area Network(MBAN), 신체 영역 통신"
개방형 링크드 데이터,Linked Open Data,LOD,링크드 오픈 데이터
제로 에너지 건축물,Zero-Energy Building,ZEB,"제로 에미션 빌딩(zero emissions building), net-zero energy building, zero-carbon building"
지능,intelligence,,인텔리전스
보안 정보와 이벤트 관리,Security Information & Event Management,SIEM,
클라우드 접근 보안 중개 서비스,Cloud Access Security Broker,CASB,
다용도 비디오 부호화,Versatile Video Coding,VVC,"범용 비디오 부호화, 미래 비디오 부호화, Future Video Coding"
802.11ax 무선랜 표준,IEEE 802.11ax,,"802.11HE(High Efficiency), 와이파이 6(Wi-Fi 6), 고효율 무선랜 표준"
802.11ay 무선랜 표준,IEEE 802.11ay,,
고고도 핵 전자파 펄스,High-Altitude EMP,HEMP,고고도 전자파 펄스
핵 전자파 펄스,Nuclear Electromagnetic Pulse,NEMP,
발생 영역 핵 전자파 펄스,Source Region EMP,SREMP,
시스템 생성 핵 전자파 펄스,System Generated Electromagnetic Pulse,SGEMP,
부운반파 간격,Subcarrier Spacing,SCS,
부분 대역폭,Bandwidth Part,BWP,
이산 푸리에 변환-확산-직교 주파수 분할 다중,DFT-Spread-OFDM,DFT-S-OFDM,
엘티이 무선랜 묶음,LTE-WLAN Aggregation,LWA,LTE-WiFi Aggregation
직교 주파수 분할 다중 접속,Orthogonal Frequency Division Multiple Access,OFDMA,
단일 운반 주파수 분할 다중 접속,Single Carrier Frequency Division Multiple Access,SC-FDMA,국부 이산 푸리에 변환-확산-직교 주파수 분할 다중 접속(Localized DFT-Spread-OFDMA)
옆 방향 링크,sidelink,SL,디투디(D2D) 링크
신기술 호환,forward compatible,,
빔 스위핑,beam sweeping,,
빔 관리,beam management,,
무선 접속망 기능 분할,functional split,,
비직교 다중 접속,Non-Orthogonal Multiple Access,NOMA,
