국문표제어,영문표제어,약어,동의어
아날로그 빔 형성,analog beamforming,,아날로그 빔포밍
빔 형성,beamforming,,빔포밍
보충 상향 링크,Supplementary UpLink,SUL,
차세대 무선 접속망 진화된 범용 지상 무선 접속 기술-엔알 이중 연결,Next Generation RAN E-UTRA NR Dual Connectivity,NGEN-DC,
엔알-진화된 범용 지상 무선 접속 기술 이중 연결,NR E-UTRA Dual Connectivity,NE-DC,
진화된 범용 지상 무선 접속 기술-엔알 이중 연결,E-UTRA NR Dual Connectivity,EN-DC,
다중 무선 이중 연결,Multi-Radio Dual Connectivity,MR-DC,
무선 접속,Radio Access,RA,Radio Access Technology(RAT)
취약성 임계치,vulnerability threshold,,
전자기 장벽,electromagnetic barrier,,
전자기 방사 보안,ElectroMagnetic emanations SECurity,EMSEC,
고출력 과도현상,high power transient phenomena,,
고출력 전자파,high power electromagnetic wave,,"고출력 전자기(high power electromagnetics), 고출력 전자기장(high power electromagnetic field), 고출력 전자기파"
인입점,point of entry (for shielded facility),,
분산 식별자,Decentralized Identifiers,DID,
구독 경제,subscription economy,,
비대면 기술,untact technology,,언택트 기술
시각 기반 인터페이스,vision-based interface,,
에이브이 원,AOMedia Video Codec 1,AV1,"산업계 표준 로열티 프리 비디오 부호화, AOM AV1"
스마트 서비스,Smart Service,,
열상 카메라,thermal imaging camera,,
셔터 안경 방식,Shutter Glasses Method,,액티브 셔터 방식(active shutter method)
무선 접속망,Radio Access Network,RAN,
우선 사용자,Primary User,,1순위 사용자
편광 안경 방식,polarized glasses method,,
전자파 장해,ElectroMagnetic Interference,EMI,"전자기 장해, 전자파 간섭, 전자파 방해"
전자파 적합성,ElectroMagnetic Compatibility,EMC,"전자기 적합성, 전자파 허용 적합성"
디지털 빔 형성,Digital BeamForming,DBF,디지털 빔포밍
크리덴셜,credential,,
초고속 해상 무선 통신망,LTE based maritime wireless communication,LTE-M.,
아이피 비사용 네트워킹,Non-IP(Internet Protocol) Networking,NIN,
저복잡도 통신 코덱,Low Complexity Communication Codec,LC3,
이동 지구국,Earth Stations In Motion,ESIM,
비정지 궤도,non-GeoStationary Orbit,non-GSO,
전자 공격,Electronic Attack,EA,
반정형 데이터,semi-structured data,,반구조적 데이터(partially structured data)
정형 데이터,structured data,,구조적 데이터
비비84 프로토콜,BB84 protocol,,
양자 난수 발생기,Quantum Random Number Generator,QRNG,양자 난수 생성기
양자 해킹,Quantum Hacking,QH,양자 암호 해킹
편광 부호화,polarization encoding,,
광 검출기,photodetector,,
양자 암호 키 분배 시스템,Quantum Key Distribution system,QKD system,양자 암호 시스템
양자 중첩,quantum superposition,,
전자파 내성,ElectroMagnetic Susceptibility,EMS,장해전자파 허용치
면허 불필요 대역 엔알,"NR-Unlicensed, NR in unlicensed spectrum",NR-U,
802.11h 무선랜 표준,IEEE 802.11h,,
802.11p 무선랜 표준,IEEE 802.11p,,
감응성,susceptibility,,"민감성(sensitivity), 감도"
임시 계약 경제,gig economy,,기그 경제
열린 제작실,makerspace,,메이커 스페이스
매체 교환 포맷,Material eXchange Format,MXF,
소프트웨어 온 칩,Software on Chip,SoC,
해상통신 엘티이,Long Term Evolution for Maritime,LTE-Maritime,초고속 해상 무선통신
양자 역학,quantum mechanics,,
화상 토론회,webinar,,웨비나
질의 처리,query processing,,
큐비트,qubit,,퀀텀 비트(quantum bit)
양자 암호,quantum cryptography,,
양자,quantum,,
위상 부호화,phase encoding,,
이동 지구국,Mobile Earth Station,MES,mobile earth radio station
미국 군사규격,Military Standards(United States),MIL-STD,
국제 전기 기술위원회,International Electrotechnical Commission,IEC,
비정형 데이터,unstructured data,,비구조적 데이터
전자파 내성 기준,Electromagnetic immunity level,,
고고도 플랫폼 무선국,High Altitude Platform Station,HAPS,
정지 궤도,geostationary orbit,,Geostationary Equatorial Orbit(GEO)
전자전,Electronic Warfare,EW,
전자 방해 공격,Electronic Counter Measures,ECM,
지구국,earth station,,earth radio station
데이터 추출,data extract,,
핵심망,Core Network,CN,"코어 네트워크, 코어망"
빅데이터,big data,,거대 자료
